Website_Name,CO2_per_Page_View_g
website carbon,3.6399355436586003
website carbon,3.592463368291277
website carbon,3.5059630369920174
website carbon,3.4353063222294424
website carbon,3.569822331361359
website carbon,3.539348538542175
website carbon,3.589519322002773
website carbon,3.563517180168197
website carbon,3.6049552715319333
website carbon,3.4464764788439433
website carbon,3.6317394065634327
website carbon,3.51975996046924
website carbon,3.7075260872625266
website carbon,3.4310812181910433
website carbon,3.673596380316525
website carbon,3.5197910783462647
website carbon,3.434858199638555
website carbon,3.451611416594568
website carbon,3.467965269180568
website carbon,3.5424165946401915
website carbon,3.55228354880355
website carbon,3.442629999606142
website carbon,3.4975645407739018
website carbon,3.714227035861186
website carbon,3.672754317010071
website carbon,3.5436323669674032
website carbon,3.50380034781682
website carbon,3.512003132671826
website carbon,3.5613517972730415
website carbon,3.3977207434801593
website carbon,3.4742623462576656
website carbon,3.333141592612241
website carbon,3.539922312260528
website carbon,3.564719593970274
website carbon,3.451681353770063
website carbon,3.657398676329003
website carbon,3.3774234336997657
website carbon,3.353562511979018
website carbon,3.522445181855997
website carbon,3.6047098302612155
website carbon,3.668392769145787
website carbon,3.454111573713106
website carbon,3.6078680833431296
website carbon,3.496149153049929
website carbon,3.482737270005918
website carbon,3.5883659937486674
website carbon,3.565232287841342
website carbon,3.342360784301575
website carbon,3.6476540349725894
website carbon,3.638009135414745
website carbon,3.437443729849047
website carbon,3.539580353343741
website carbon,3.549403018628274
website carbon,3.526067376582391
website carbon,3.444969484615458
website carbon,3.432837663206195
website carbon,3.4974445929008553
website carbon,3.6172729019259364
website carbon,3.554360015459443
website carbon,3.4629385667913892
website carbon,3.5771698710648345
website carbon,3.2151457379369925
website carbon,3.6148765700372105
website carbon,3.32602862212219
website carbon,3.4637559058596867
website carbon,3.3880330105373857
website carbon,3.3705318524279093
website carbon,3.616082678737852
website carbon,3.453229879868811
website carbon,3.5346503881730715
website carbon,3.4953079421120816
website carbon,3.547704082722312
website carbon,3.5076821891060255
website carbon,3.371700777581143
website carbon,3.599626681944714
website carbon,3.4506243416838687
website carbon,3.3443418101340248
website carbon,3.457188483903409
website carbon,3.650075979063431
website carbon,3.5850221742113493
website carbon,3.465134786559214
website carbon,3.465074229568157
website carbon,3.4678364948782616
website carbon,3.7076747983560843
website carbon,3.538193545223155
website carbon,3.543004164719107
website carbon,3.6030283454031844
website carbon,3.5238789159026513
website carbon,3.4740957854179295
website carbon,3.480365015091502
website carbon,3.4928398740585935
website carbon,3.496277776349016
website carbon,3.572762954363698
website carbon,3.50519458858073
website carbon,3.573264007721558
website carbon,3.4919283419891416
website carbon,3.507863519031609
website carbon,3.300179931546789
website carbon,3.591632767470248
website carbon,3.5346488475897995
website carbon,3.5998010109859653
website carbon,3.210374462180631
website carbon,3.708837470478073
website carbon,3.4860410371844828
website carbon,3.6108182816737515
website carbon,3.3960094072874467
website carbon,3.561277390506257
website carbon,3.3946584436826344
website carbon,3.4376231039304197
website carbon,3.6914031353866785
website carbon,3.4809317599236653
website carbon,3.5217432873179724
website carbon,3.5870067730688753
website carbon,3.5495681887972603
website carbon,3.5150418905143574
website carbon,3.5364961002466226
website carbon,3.7403415585238275
website carbon,3.4942381202966413
website carbon,3.5201099046714965
website carbon,3.6050654396007613
website carbon,3.6105525932957985
website carbon,3.618703030556038
website carbon,3.5638730222029187
website carbon,3.3856995087269515
website carbon,3.6633431532301097
website carbon,3.3853654606981314
website carbon,3.530263546523903
website carbon,3.4245724149980643
website carbon,3.4935861653407008
website carbon,3.532876241030348
website carbon,3.5321357215450275
website carbon,3.5421920754235283
website carbon,3.661371126905865
website carbon,3.545353430151398
website carbon,3.475584336470935
website carbon,3.5964087168288357
website carbon,3.618947048892464
website carbon,3.377239218486301
website carbon,3.5597400069849856
website carbon,3.57011727423109
website carbon,3.470243649664001
website carbon,3.637570681331162
website carbon,3.4849944412967475
website carbon,3.512557645347154
website carbon,3.482692817571613
website carbon,3.5015579047581467
website carbon,3.39037249131048
website carbon,3.3559949117405705
website carbon,3.6594505063224974
website carbon,3.415303865168167
website carbon,3.4008607650543694
website carbon,3.2846609886396285
website carbon,3.43610382523105
website carbon,3.36769102065925
website carbon,3.664201516013637
website carbon,3.6009817089342633
website carbon,3.4311849654822275
website carbon,3.725243580534431
website carbon,3.5981765486991595
website carbon,3.4675168616491376
website carbon,3.2500594285126425
website carbon,3.7290942572590744
website carbon,3.36104275332364
website carbon,3.335460125304311
website carbon,3.602257043200964
website carbon,3.7439752406339273
website carbon,3.638427281851052
website carbon,3.556390912005236
website carbon,3.5594754341665285
website carbon,3.585341555878031
website carbon,3.5758928589786767
website carbon,3.5281191423969376
website carbon,3.5104201103951875
website carbon,3.493740687210048
website carbon,3.424603541113332
